file,speed,delay,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
speed60_delay10.csv,60,10,sensor1, sensor2,Crack 1,9340.459,9356.862,1061,1227,1136,1136,9336.352,44.736012,44.66083262,0.002992793,0.075179384,25.12013766,28.0004403
speed60_delay10.csv,60,10,sensor1, sensor2,Crack 2,9357.397,9344.339,437,592,525,525,9292.236,44.926331,44.66094071,0.002992793,0.265390286,88.67644542,38.95616552
speed60_delay10.csv,60,10,sensor1, sensor2,Crack 2,9370.945,9381.912,1335,1482,1408,1408,9311.495,44.924404,44.66055655,0.002992793,0.263847453,88.16092921,38.90552318
speed60_delay10.csv,60,10,sensor1, sensor2,Crack 3,9379.967,9364.919,180,344,270,270,9250.185,45.189411,44.66169812,0.002992793,0.527712879,176.3278639,44.92641892
speed60_delay10.csv,60,10,sensor1, sensor2,Crack 3,9390.6,9421.822,1588,1764,1671,1671,9287.907,45.189346,44.66301589,0.002992793,0.526330115,175.8658326,44.90362945
speed60_delay25.csv,60,25,sensor1, sensor2,Crack 1,9338.799,9330.746,309,376,339,339,9323.525,44.72937,44.66093053,0.002055677,0.068439472,33.29291796,30.44703721
speed60_delay25.csv,60,25,sensor1, sensor2,Crack 1,9340.533,9357.36,497,571,533,533,9336.441,44.727112,44.66095942,0.002055677,0.066152582,32.18044238,30.1518402
speed60_delay25.csv,60,25,sensor1, sensor2,Crack 2,9360.842,9344.569,191,269,232,232,9298.481,44.891266,44.65982979,0.002055677,0.231436209,112.5839596,41.02953038
speed60_delay25.csv,60,25,sensor1, sensor2,Crack 2,9364.385,9385.079,605,681,641,641,9320.733,44.890366,44.65871359,0.002055677,0.231652406,112.6891305,41.03764056
speed60_delay25.csv,60,25,sensor1, sensor2,Crack 3,9387.805,9363.166,80,162,125,125,9265.678,45.118153,44.65960703,0.002055677,0.458545972,223.0632858,46.9685619
speed60_delay25.csv,60,25,sensor1, sensor2,Crack 3,9392.071,9416.659,713,793,752,752,9296.522,45.117718,44.66068342,0.002055677,0.457034579,222.3280567,46.93988544
speed60_delay5.csv,60,5,sensor1, sensor2,Crack 1,9341.324,9334.871,1353,1644,1511,1511,9327.532,44.72617,44.64948737,0.003831828,0.076682633,20.01202616,26.02582124
speed60_delay5.csv,60,5,sensor1, sensor2,Crack 1,9343.256,9359.869,2421,2712,2558,2558,9338.663,44.72802,44.64957581,0.003831828,0.078444188,20.47174287,26.22309636
speed60_delay5.csv,60,5,sensor1, sensor2,Crack 2,9360.137,9348.687,822,1145,995,995,9295.942,44.922173,44.64823499,0.003831828,0.273938007,71.49017151,37.08492678
speed60_delay5.csv,60,5,sensor1, sensor2,Crack 2,9375.905,9393.747,2948,3276,3115,3115,9313.613,44.918282,44.64806375,0.003831828,0.270218255,70.51941994,36.96617463
speed60_delay5.csv,60,5,sensor1, sensor2,Crack 3,9383.524,9368.365,299,618,471,471,9252.339,45.18187,44.64594881,0.003831828,0.535921189,139.8604674,42.9138995
speed60_delay5.csv,60,5,sensor1, sensor2,Crack 3,9395.396,9414.021,3466,3794,3642,3642,9288.434,45.179939,44.64766529,0.003831828,0.532273705,138.9085759,42.85458118
speed60_delay50.csv,60,50,sensor1, sensor2,Crack 1,9337.963,9335.005,154,184,171,171,9327.664,44.728405,44.66079315,0.00396297,0.067611847,17.06090276,24.64004015
speed60_delay50.csv,60,50,sensor1, sensor2,Crack 1,9344.092,9357.731,250,284,267,267,9337.565,44.73119,44.66080567,0.00396297,0.070384333,17.76050084,24.98910417
speed60_delay50.csv,60,50,sensor1, sensor2,Crack 2,9358.667,9345.888,98,133,114,114,9292.615,44.921307,44.65724287,0.00396297,0.264064128,66.63288475,36.47377231
speed60_delay50.csv,60,50,sensor1, sensor2,Crack 2,9368.97,9387.055,304,339,321,321,9314.076,44.916943,44.65749908,0.00396297,0.259443917,65.46703907,36.32045398
speed60_delay50.csv,60,50,sensor1, sensor2,Crack 3,9386.448,9367.663,40,78,61,61,9253.776,45.180344,44.65507415,0.00396297,0.525269847,132.54449,42.44723357
speed60_delay50.csv,60,50,sensor1, sensor2,Crack 3,9390.28,9414.396,357,394,375,375,9288.434,45.172062,44.65818252,0.00396297,0.513879479,129.6702901,42.25680965
speed70_delay10.csv,70,10,sensor1, sensor2,Crack 1,9337.896,9330.285,718,839,780,780,9324.413,44.737804,44.66370646,0.004242446,0.074097545,17.46576193,24.84375073
